Episode,Player,Award,Points,Character
2,Kirsty,Jockey,16,Petyr Baelish
2,Kirsty,Jockey,8,Jorah Mormont
2,Kirsty,Bloodshed,32,Janos Slynt
2,Kirsty,Bloodshed,16,Jon Snow
2,Kirsty,Bloodshed,8,Qyburn
2,Kirsty,Style,32,Margaery Tyrell
2,Kirsty,Style,16,Cersei Lannister
2,Kirsty,Style,8,Roose Bolton
2,Kirsty,Support,32,Podrick Payne
2,Kirsty,Support,16,Varys
2,Kirsty,Support,8,Cersei Lannister
