Episode,Player,Award,Points,Character
0,Sherin the Sedulous,Wit,16,Petyr Baelish
0,Sherin the Sedulous,Wit,8,Daario Naharis
0,Sherin the Sedulous,Jockey,32,Margaery Tyrell
0,Sherin the Sedulous,Jockey,16,Petyr Baelish
0,Sherin the Sedulous,Jockey,8,Stannis Baratheon
0,Sherin the Sedulous,Bloodshed,32,Robin Arryn
0,Sherin the Sedulous,Bloodshed,16,Jon Snow
0,Sherin the Sedulous,Bloodshed,8,Mance Rayder
0,Sherin the Sedulous,Style,32,Margaery Tyrell
0,Sherin the Sedulous,Style,16,Sansa Stark
0,Sherin the Sedulous,Style,8,Daenerys Targaryen
0,Sherin the Sedulous,Support,32,Daario Naharis
0,Sherin the Sedulous,Support,16,Lancel Lannister
0,Sherin the Sedulous,Support,8,Podrick Payne
0,Josh Du,Wit,32,Yohn Royce
0,Josh Du,Wit,16,Varys
0,Josh Du,Wit,8,
0,Josh Du,Jockey,32,Varys
0,Josh Du,Jockey,16,Stannis Baratheon
0,Josh Du,Jockey,8,
0,Josh Du,Bloodshed,32,Mance Rayder
0,Josh Du,Bloodshed,16,Jon Snow
0,Josh Du,Bloodshed,8,
0,Josh Du,Style,32,Daenerys Targaryen
0,Josh Du,Style,16,Loras Tyrell
0,Josh Du,Style,8,
0,Josh Du,Support,32,Varys
0,Josh Du,Support,16,Daario Naharis
0,Josh Du,Support,8,Davos Seaworth
0,Kirsty,Wit,32,Melisandre
0,Kirsty,Wit,16,Varys
0,Kirsty,Wit,8,Tyrion Lannister
0,Kirsty,Jockey,32,Stannis Baratheon
0,Kirsty,Jockey,16,Margaery Tyrell
0,Kirsty,Jockey,8,Petyr Baelish
0,Kirsty,Bloodshed,32,Mance Rayder
0,Kirsty,Bloodshed,16,Tyrion Lannister
0,Kirsty,Bloodshed,8,Cersei Lannister
0,Kirsty,Style,32,Cersei Lannister
0,Kirsty,Style,16,Melisandre
0,Kirsty,Style,8,Daenerys Targaryen
0,Kirsty,Support,32,Podrick Payne
0,Kirsty,Support,16,Grey Worm
0,Kirsty,Support,8,Varys
0,Kent,Wit,32,Tyrion Lannister
0,Kent,Wit,16,Cersei Lannister
0,Kent,Wit,8,Brienne of Tarth
0,Kent,Jockey,32,Daario Naharis
0,Kent,Jockey,16,Stannis Baratheon
0,Kent,Jockey,8,Jon Snow
0,Kent,Bloodshed,32,Mance Rayder
0,Kent,Bloodshed,16,Maggy the Frog
0,Kent,Bloodshed,8,Stannis Baratheon
0,Kent,Style,32,Lancel Lannister
0,Kent,Style,16,Daenerys Targaryen
0,Kent,Style,8,Cersei Lannister
0,Kent,Support,32,Jon Snow
0,Kent,Support,16,Shireen Baratheon
0,Kent,Support,8,Podrick Payne
